"","time","time_month","time_week","car","renter","score_numeric","score","source"
"94151","2020-05-05",5,18,8916,10460,5,"STRONG_POSITIVE","IOS"
"94152","2020-02-20",2,8,8916,3867,5,"STRONG_POSITIVE","IOS"
"94153","2020-05-05",5,18,8916,10460,5,"STRONG_POSITIVE","IOS"
"94154","2020-02-29",2,9,8916,34105,4,"WEAK_POSITIVE","IOS"
"94155","2020-02-03",2,5,8916,11729,5,"STRONG_POSITIVE","IOS"
"94156","2020-05-29",5,22,8916,12278,5,"STRONG_POSITIVE","IOS"
"94157","2020-03-08",3,10,8916,4241,5,"STRONG_POSITIVE","IOS"
"94158","2020-05-28",5,22,8916,48371,5,"STRONG_POSITIVE","IOS"
"94159","2020-03-14",3,11,8916,12294,5,"STRONG_POSITIVE","IOS"
"94160","2020-02-13",2,7,8916,3867,5,"STRONG_POSITIVE","IOS"
"94161","2020-01-02",1,1,8916,2575,5,"STRONG_POSITIVE","IOS"
"94162","2020-03-11",3,11,8916,12294,5,"STRONG_POSITIVE","IOS"
"94163","2020-01-14",1,2,8917,25024,5,"STRONG_POSITIVE","WEB"
"94164","2020-01-19",1,3,8917,864,5,"STRONG_POSITIVE","IOS"
"94165","2020-01-21",1,3,8917,26865,5,"STRONG_POSITIVE","IOS"
"94166","2020-01-08",1,2,8917,21739,5,"STRONG_POSITIVE","IOS"
"94167","2020-01-05",1,1,8917,9209,5,"STRONG_POSITIVE","IOS"
"94168","2020-01-04",1,1,8917,7876,5,"STRONG_POSITIVE","IOS"
"94169","2020-01-07",1,1,8917,17475,5,"STRONG_POSITIVE","IOS"
"94170","2020-02-04",2,5,8917,28578,4,"WEAK_POSITIVE","IOS"
"94171","2020-01-22",1,4,8917,21739,5,"STRONG_POSITIVE","IOS"
"94172","2020-01-13",1,2,8917,18208,5,"STRONG_POSITIVE","IOS"
"94173","2020-01-04",1,1,8917,17208,5,"STRONG_POSITIVE","IOS"
"94174","2020-01-18",1,3,8917,47813,5,"STRONG_POSITIVE","IOS"
"94175","2020-01-23",1,4,8917,26865,5,"STRONG_POSITIVE","WEB"
"94176","2020-01-17",1,3,8917,8609,4,"WEAK_POSITIVE","ANDROID"
"94177","2020-01-11",1,2,8917,9758,5,"STRONG_POSITIVE","IOS"
"94178","2020-02-23",2,8,8918,35796,5,"STRONG_POSITIVE","ANDROID"
"94179","2020-01-29",1,5,8918,24858,3,"NEUTRAL","IOS"
"94180","2020-03-04",3,10,8918,44847,5,"STRONG_POSITIVE","IOS"
"94181","2020-01-19",1,3,8918,33416,4,"WEAK_POSITIVE","ANDROID"
"94182","2020-03-10",3,10,8918,35796,3,"NEUTRAL","ANDROID"
"94183","2020-03-03",3,9,8918,44847,5,"STRONG_POSITIVE","IOS"
"94184","2020-01-09",1,2,8918,13836,5,"STRONG_POSITIVE","IOS"
"94185","2020-03-01",3,9,8918,10158,5,"STRONG_POSITIVE","IOS"
"94186","2020-02-21",2,8,8918,44847,5,"STRONG_POSITIVE","IOS"
"94187","2020-01-27",1,4,8918,15938,4,"WEAK_POSITIVE","IOS"
"94188","2020-01-18",1,3,8918,43334,5,"STRONG_POSITIVE","IOS"
"94189","2020-01-02",1,1,8919,18136,5,"STRONG_POSITIVE","ANDROID"
"94190","2020-02-16",2,7,8919,16809,4,"WEAK_POSITIVE","IOS"
"94191","2020-03-10",3,10,8919,16052,5,"STRONG_POSITIVE","IOS"
"94192","2020-02-11",2,6,8919,17329,5,"STRONG_POSITIVE","IOS"
"94193","2020-01-05",1,1,8919,38366,4,"WEAK_POSITIVE","IOS"
"94194","2020-01-08",1,2,8919,38366,4,"WEAK_POSITIVE","IOS"
"94195","2020-04-27",4,17,8919,42156,4,"WEAK_POSITIVE","IOS"
"94196","2020-02-21",2,8,8919,45453,5,"STRONG_POSITIVE","IOS"
"94197","2020-03-14",3,11,8919,16052,5,"STRONG_POSITIVE","IOS"
"94198","2020-01-25",1,4,8919,12935,5,"STRONG_POSITIVE","ANDROID"
"94199","2020-02-07",2,6,8919,43993,5,"STRONG_POSITIVE","ANDROID"
"94200","2020-01-11",1,2,8919,17935,4,"WEAK_POSITIVE","IOS"
"94201","2020-01-07",1,1,8919,38366,4,"WEAK_POSITIVE","IOS"
"94202","2020-01-26",1,4,8919,13600,4,"WEAK_POSITIVE","IOS"
"94203","2020-01-20",1,3,8919,17935,4,"WEAK_POSITIVE","IOS"
"94204","2020-02-12",2,7,8919,17329,5,"STRONG_POSITIVE","IOS"
"94205","2020-02-24",2,8,8919,48756,5,"STRONG_POSITIVE","IOS"
"94206","2020-04-17",4,16,8919,42320,5,"STRONG_POSITIVE","IOS"
"94207","2020-02-21",2,8,8919,17329,4,"WEAK_POSITIVE","IOS"
"94208","2020-01-30",1,5,8919,45802,5,"STRONG_POSITIVE","IOS"
"94209","2020-01-31",1,5,8919,17935,4,"WEAK_POSITIVE","IOS"
"94210","2020-01-02",1,1,8919,48134,2,"WEAK_NEGATIVE","IOS"
"94211","2020-02-29",2,9,8919,29276,4,"WEAK_POSITIVE","ANDROID"
"94212","2020-02-23",2,8,8919,12935,5,"STRONG_POSITIVE","ANDROID"
"94213","2020-02-17",2,7,8919,17329,4,"WEAK_POSITIVE","IOS"
"94214","2020-03-05",3,10,8919,48056,4,"WEAK_POSITIVE","IOS"
"94215","2020-01-10",1,2,8919,39068,5,"STRONG_POSITIVE","IOS"
"94216","2020-01-18",1,3,8919,48097,4,"WEAK_POSITIVE","ANDROID"
"94217","2020-05-12",5,19,8919,13600,1,"STRONG_NEGATIVE","IOS"
"94218","2020-01-19",1,3,8919,13600,5,"STRONG_POSITIVE","IOS"
"94219","2020-03-03",3,9,8919,12935,5,"STRONG_POSITIVE","ANDROID"
"94220","2020-01-05",1,1,8919,45742,5,"STRONG_POSITIVE","IOS"
"94221","2020-01-02",1,1,8919,25210,4,"WEAK_POSITIVE","ANDROID"
"94222","2020-02-04",2,5,8919,42458,5,"STRONG_POSITIVE","IOS"
"94223","2020-02-13",2,7,8919,17329,5,"STRONG_POSITIVE","IOS"
"94224","2020-01-06",1,1,8919,44558,4,"WEAK_POSITIVE","ANDROID"
"94225","2020-01-04",1,1,8919,44558,5,"STRONG_POSITIVE","ANDROID"
"94226","2020-02-15",2,7,8919,17329,5,"STRONG_POSITIVE","IOS"
"94227","2020-01-16",1,3,8919,12935,4,"WEAK_POSITIVE","ANDROID"
"94228","2020-02-06",2,6,8919,34721,2,"WEAK_NEGATIVE","ANDROID"
"94229","2020-01-09",1,2,8919,41497,5,"STRONG_POSITIVE","ANDROID"
"94230","2020-01-08",1,2,8919,41497,5,"STRONG_POSITIVE","ANDROID"
