"user","city","gender","age","asset_year","user_status","earnings","first_trip_m","price_hourly"
92,"San Jose","MALE",NA,2012,"DELISTED",0,NA,10
93,"Golden","FEMALE",NA,2006,"DELISTED",0,NA,10
94,"San Francisco","MALE",42,2018,"ACTIVE",382.626,76,7.35
95,"Edgewater","FEMALE",NA,2002,"DELISTED",0,NA,15
96,"San Francisco","FEMALE",NA,2000,"DELISTED",75.48,NA,5
97,"Chicago","FEMALE",NA,2011,"DELISTED",64.848,80,4.69
98,"Charlestown","FEMALE",29,2016,"ACTIVE",197.506,81,6.54
99,"Boston","FEMALE",25,2018,"ACTIVE",260.714,82,8
100,"","MALE",NA,1998,"DELISTED",0,NA,25
101,"Miami","MALE",NA,2010,"DELISTED",0,NA,9.5
102,"Brooklyn","MALE",NA,2008,"DELISTED",0,NA,9.5
103,"San Francisco","MALE",38,2013,"DELISTED",2482.59,48,11
104,"Chicago","MALE",NA,2008,"DELISTED",82.71,66,7
105,"Washington","MALE",NA,2013,"OFFBOARDING",162.99,67,10
106,"San Francisco","FEMALE",NA,2018,"LAUNCHING",0,NA,7.5
107,"Chicago","MALE",NA,2013,"DELISTED",322.77,43,7
108,"Portland","FEMALE",39,2004,"SCHEDULING",0,NA,5.33
109,"San Francisco","MALE",NA,2006,"DELISTED",312,NA,10
110,"San Francisco","MALE",37,2003,"DELISTED",41.82,NA,25
111,"Chicago","FEMALE",47,2014,"DELISTED",116.548,67,7.5
112,"Los Angeles","MALE",NA,2016,"LIMITED",237.4,74,7.01
113,"Oakland","FEMALE",NA,2017,"LIMITED",0,80,5
114,"Los Angeles","FEMALE",NA,2018,"ACTIVE",0,80,8.4
115,"San Francisco","MALE",36,2015,"OFFBOARDING",114.81,63,17
116,"","FEMALE",NA,2004,"DELISTED",0,NA,6
117,"San Francisco","FEMALE",29,2012,"DELISTED",230.4,62,10
118,"Seattle","FEMALE",NA,2009,"ONBOARDING",0,NA,6.23
119,"San Francisco","MALE",44,2014,"LIMITED",378.36,44,12
120,"San Francisco","FEMALE",60,2010,"OFFBOARDING",63.36,63,8
121,"Washington","FEMALE",NA,2018,"ACTIVE",0,84,5
122,"San Francisco","MALE",23,2018,"LIMITED",301.244,78,7.33
123,"Emeryville","MALE",24,2016,"ACTIVE",389.5,76,5.7
124,"Chicago","FEMALE",29,2015,"DELISTED",77.22,41,11
125,"Los Angeles","FEMALE",NA,2013,"DELISTED",0,NA,8.5
126,"San Francisco","FEMALE",39,2011,"DELISTED",3125.55,41,9
127,"Redwood City","FEMALE",34,2008,"SCHEDULING",0,NA,5.03
128,"Santa Ana","MALE",35,2018,"LIMITED",13.356,83,8.94
129,"Chicago","FEMALE",32,2013,"DELISTED",234,NA,25
130,"San Diego","MALE",31,2007,"SCHEDULING",0,NA,5.07
131,"San Francisco","FEMALE",27,2011,"DELISTED",2502.432,64,8.5
132,"San Francisco","MALE",30,2013,"DELISTED",590.22,48,9
133,"Chicago","FEMALE",27,2014,"SCHEDULING",0,NA,6.28
134,"San Francisco","FEMALE",29,2007,"DELISTED",429.764,45,7.5
135,"San Francisco","MALE",NA,2005,"DELISTED",47.924,NA,7.5
136,"San Bruno","FEMALE",NA,2014,"DELISTED",0,68,5
137,"San Francisco","FEMALE",27,2008,"LIMITED",1167.372,73,11
138,"Evanston","MALE",NA,2000,"DELISTED",76.2,NA,10
139,"Stanford","MALE",NA,2007,"DELISTED",149.1,NA,9
140,"San Francisco","FEMALE",41,2015,"DELISTED",1798.32,46,15
141,"Washington","MALE",48,2014,"DELISTED",283.77,60,9
142,"San Francisco","FEMALE",27,2007,"DELISTED",436.38,48,7
143,"Chicago","FEMALE",NA,2015,"ACTIVE",240.452,75,5.02
144,"San Francisco","MALE",NA,2015,"ACTIVE",875.756,65,9.51
145,"Portland","FEMALE",38,2013,"ACTIVE",410.38,77,4.72
146,"","FEMALE",NA,2010,"DELISTED",0,NA,10
147,"San Francisco","FEMALE",NA,2001,"DELISTED",0,NA,15
148,"San Francisco","FEMALE",28,2009,"DELISTED",45.78,NA,15
149,"San Francisco","MALE",26,2014,"DELISTED",296.16,53,13
150,"","MALE",NA,2007,"DELISTED",0,NA,10
151,"Wilmington","MALE",NA,2013,"DELISTED",0,NA,25
152,"","MALE",NA,2002,"DELISTED",42.84,NA,6
153,"Castro Valley","MALE",NA,2005,"DELISTED",0,NA,8
154,"Washington","FEMALE",33,2015,"RESCUING",86.28,70,7.44
155,"Beverly Hills","MALE",23,2018,"ACTIVE",200.882,81,11.69
156,"San Francisco","FEMALE",31,2012,"SCHEDULING",0,NA,7.5
157,"San Francisco","MALE",33,2007,"DELISTED",37.966,NA,7.5
158,"Jersey City","MALE",NA,2015,"DELISTED",362.206,76,8.5
159,"Emeryville","FEMALE",28,2015,"DELISTED",110.82,NA,10
160,"Los Angeles","MALE",NA,2015,"ACTIVE",58.078,83,6.82
161,"San Francisco","FEMALE",25,2006,"ACTIVE",196.692,78,5.87
162,"San Francisco","FEMALE",NA,2001,"DELISTED",40.276,NA,7.5
163,"San Francisco","MALE",23,2011,"LIMITED",639.608,81,10.59
164,"Los Angeles","FEMALE",NA,2013,"DELISTED",421.782,74,5.92
165,"Niles","MALE",NA,2007,"DELISTED",20.16,NA,7
166,"","MALE",NA,2011,"DELISTED",0,NA,8
167,"San Francisco","FEMALE",29,2015,"ACTIVE",2568.99,49,8
